Window scale	index	L	B	FWHM250	FWHM160	FWHM70
26.03' x 20.86'	34549	24.7886191	0.08317151	32.5613267542955	30.18691769624716	28.276492003075628
29.94' x 33.61'	34566	43.164813	-0.0287708	29.32984827782101	26.66927070618917	24.485914318236105
44.98' x 36.05'	34567	43.1668128	0.01134557	32.5613267542955	30.18691769624716	28.276492003075628
43.11' x 48.4'	34468	331.512263	-0.1033153	30.92313050129304	28.412145290350743	26.373471519691904
31.24' x 25.03'	34479	333.603657	-0.213103	32.42838281196726	30.04346870452035	28.12330015840057
43.11' x 48.4'	34500	345.406997	-0.9521014	33.44547858379877	31.138561908015948	29.290272065983643
2.008º x 1.347º	34515	351.159893	0.69808366	29.37005229480329	26.71347921554735	24.53405738559116
53.98' x 43.26'	34516	351.243729	0.66858478	38.51752672174608	36.532312611719824	34.9702711565184
