L	B	RA	DEC	FWHM250	FWHM160	FWHM70
301.13649030934675	-0.22572429415777745	188.8965	-63.0422	30.120424963801558	27.536339626028727	25.427544120500507
305.20828294773065	0.20624628340694878	197.8071	-62.578	32.5613267542955	30.18691769624716	28.276492003075628
305.35696843575806	0.2032534388499263	198.1294	-62.5692	31.41018974045286	28.941493042537562	26.942902952934563
305.3617501935502	0.15128727899184183	198.149	-62.6206	30.92313050129304	28.412145290350743	26.373471519691904
305.36659108308726	0.21289782200238688	198.1485	-62.5588	31.737044600907627	29.295904150580505	27.323250172700902
305.79936633596714	-0.24460257657676104	199.1804	-62.9755	29.32984827782101	26.669270706189174	24.485914318236105
309.92120030221633	0.47778264420690036	207.676	-61.5871	27.32398200095965	24.446062922048753	22.043593000887284
311.62605590774956	0.2899572132521111	211.2276	-61.3354	31.737044600907627	29.295904150580505	27.323250172700902
314.2197340011495	0.2706056709625673	216.3037	-60.5295	29.370052294803294	26.71347921554735	24.53405738559116
316.8131449554898	-0.059005731371386885	221.3654	-59.8217	32.42838281196726	30.04346870452035	28.123300158400575
318.0494206268071	0.08600120584399387	223.4281	-59.1489	31.737044600907627	29.295904150580505	27.323250172700902
318.9471155855967	-0.19699181984554606	225.2303	-58.9824	31.737044600907627	29.295904150580505	27.323250172700902
322.15814683803075	0.6353680581974288	229.6446	-56.641	32.5613267542955	30.18691769624716	28.276492003075628
322.16323815976455	0.6219953339304523	229.6654	-56.6496	28.347839563622077	25.585347524019625	23.300643937987147
323.7406713900335	-0.26360653753574154	232.9412	-56.5144	30.92313050129304	28.412145290350743	26.373471519691904
324.2006077396844	0.12066330839120326	233.221	-55.9356	31.737044600907627	29.295904150580505	27.323250172700902
326.47455051926073	0.7025999273158299	235.8191	-54.1209	32.5613267542955	30.18691769624716	28.276492003075628
326.65776521588987	0.5940945356885633	236.1797	-54.0955	39.529736250759576	37.59800590529524	36.08212920622362
326.67061043363543	0.5537392377305259	236.2391	-54.1196	30.92313050129304	28.412145290350743	26.373471519691904
326.72366298993825	0.6147329788167001	236.2471	-54.0389	32.5613267542955	30.18691769624716	28.276492003075628
327.2921752743654	-0.5792506973341024	238.2851	-54.6191	29.32984827782101	26.669270706189174	24.485914318236105
327.3005479586015	-0.5509440729809459	238.2653	-54.5919	32.42838281196726	30.04346870452035	28.123300158400575
327.4024274546768	0.4435940976949202	237.3325	-53.7544	31.737044600907627	29.295904150580505	27.323250172700902
328.2353545995734	-0.5481837758164091	239.4923	-53.9911	29.370052294803294	26.71347921554735	24.53405738559116
328.2551639678331	-0.5322052021585498	239.5004	-53.9661	31.737044600907627	29.295904150580505	27.323250172700902
328.30727742411517	0.43000338537984	238.5274	-53.1948	31.737044600907627	29.295904150580505	27.323250172700902
328.5670319633165	-0.5345401920863336	239.9052	-53.7654	27.32398200095965	24.446062922048753	22.043593000887284
328.57634463857744	-0.530410010385438	239.9126	-53.7562	31.737044600907627	29.295904150580505	27.323250172700902
328.8086683415379	0.6327353957314955	238.9526	-52.7185	30.92313050129304	28.412145290350743	26.373471519691904
329.03034688314824	-0.20228721161001265	240.1308	-53.2113	34.46157332021199	32.22747330623899	30.44536148092755
329.1835942809714	-0.31475625846464966	240.4471	-53.1958	30.92313050129304	28.412145290350743	26.373471519691904
329.33822115755567	0.1470236048597759	240.1384	-52.7457	27.32398200095965	24.446062922048753	22.043593000887284
329.4058105771183	-0.45897425888523025	240.8845	-53.1577	28.347839563622077	25.585347524019625	23.300643937987147
330.87884106686926	-0.3681263757836072	242.5849	-52.1027	30.92313050129304	28.412145290350743	26.373471519691904
330.9545018050688	-0.18277310547646974	242.4709	-51.9152	29.32984827782101	26.669270706189174	24.485914318236105
331.1322362136868	-0.24467914504338123	242.7503	-51.8399	30.92313050129304	28.412145290350743	26.373471519691904
331.280006204938	-0.18890121814237168	242.8637	-51.6984	32.5613267542955	30.18691769624716	28.276492003075628
331.51226290642444	-0.10331532820688279	243.0428	-51.4773	30.92313050129304	28.412145290350743	26.373471519691904
331.55594929247434	-0.1222037090978237	243.1147	-51.4612	30.92313050129304	28.412145290350743	26.373471519691904
332.09464874106436	-0.4210524877039915	244.0702	-51.3066	32.5613267542955	30.18691769624716	28.276492003075628
332.8262136867904	-0.5494024492935093	245.0466	-50.8875	30.92313050129304	28.412145290350743	26.373471519691904
332.963024239096	-0.678179689925204	245.3443	-50.8825	27.32398200095965	24.446062922048753	22.043593000887284
333.0670628884685	-0.44680359786759805	245.2029	-50.6451	28.347839563622077	25.585347524019625	23.300643937987147
333.1206044590611	-0.4336039327865754	245.2481	-50.598	28.347839563622077	25.585347524019625	23.300643937987147
333.13412304880876	-0.43153330315313637	245.2609	-50.587	29.370052294803294	26.71347921554735	24.53405738559116
333.2841848162604	-0.38692951772857087	245.3786	-50.4495	33.44547858379877	31.138561908015948	29.290272065983643
333.2990527852898	-0.3509137476018479	245.3552	-50.4135	32.42838281196726	30.04346870452035	28.123300158400575
333.4659715686816	-0.1641681392740661	245.3339	-50.1634	28.347839563622077	25.585347524019625	23.300643937987147
333.6036566720678	-0.21310298520845056	245.5398	-50.1007	32.42838281196726	30.04346870452035	28.123300158400575
335.5856755644222	-0.29063288223419265	247.746	-48.7314	32.5613267542955	30.18691769624716	28.276492003075628
335.78959684773673	0.1736012110680085	247.4483	-48.2643	27.32398200095965	24.446062922048753	22.043593000887284
336.0177351318953	-0.8283446445727038	248.7896	-48.7808	30.92313050129304	28.412145290350743	26.373471519691904
336.9943800752657	-0.027082609163522002	248.8919	-47.5194	29.32984827782101	26.669270706189174	24.485914318236105
337.1211849485719	-0.17419849286560948	249.1794	-47.5247	32.42838281196726	30.04346870452035	28.123300158400575
337.40522028070757	-0.40246848767572985	249.7118	-47.4665	31.737044600907627	29.295904150580505	27.323250172700902
337.7046004651342	-0.053559934680515356	249.6233	-47.0107	30.92313050129304	28.412145290350743	26.373471519691904
337.71299063184523	0.0873086697034725	249.478	-46.9103	29.32984827782101	26.669270706189174	24.485914318236105
337.91542646458106	-0.477367278756754	250.294	-47.1348	30.120424963801558	27.536339626028727	25.427544120500507
337.9218913241296	-0.45551831401403403	250.2762	-47.1155	33.44547858379877	31.138561908015948	29.290272065983643
338.07482675853356	0.011038801503106346	249.9136	-46.6916	30.39078857411598	27.831816867689728	25.74723344665633
338.9188750880585	0.549384585960018	250.1415	-45.703	30.120424963801558	27.536339626028727	25.427544120500507
340.0542421179858	-0.24430182249737448	252.0585	-45.3627	31.737044600907627	29.295904150580505	27.323250172700902
340.9697667938254	-1.0212715649604773	253.7377	-45.1515	31.737044600907627	29.295904150580505	27.323250172700902
343.12710431071275	-0.06324820188735487	254.5724	-42.8687	32.5613267542955	30.18691769624716	28.276492003075628
343.7558877218637	-0.1641094636543491	255.2087	-42.4368	30.120424963801558	27.536339626028727	25.427544120500507
344.22067128759886	-0.5938608548963068	256.0538	-42.3317	31.737044600907627	29.295904150580505	27.323250172700902
