index	L	B	RAx	DECx	DIST	LBOL	MASS	VDENS
34567	43.16681279123633	0.01134557201606168	19:10:13.42	+09:06:14.4	11100.0	4695670.0	118803.82	7.8058378671416E-18
34484	337.1211849485719	-0.17419849286560948	16:36:43.06	-47:31:28.9	11000.0	2014836.6	11860.184	3.732096771960117E-19
34545	19.608442119666357	-0.23468320434230475	18:27:38.02	-11:56:39.8	12600.0	1580337.8	33639.49	2.48360386366677E-18
34561	32.79686630096359	0.19078654251527943	18:50:30.74	-00:01:59.5	13000.0	1532685.4	21130.58	1.1891958914010242E-18
34524	0.6652567859895416	-0.03362592082581179	17:47:19.58	-28:23:06.7	8000.0	1432372.9	252628.08	3.835965139947698E-17
34566	43.164813019620446	-0.028770817688357802	19:10:21.84	+09:05:01.3	11100.0	1264645.9	15390.294	2.015429876989787E-18
34512	350.1018994808596	0.08164032112063387	17:19:26.93	-37:11:04.9	10500.0	1010120.56	10262.503	6.011755004486681E-19
34570	45.12132417150079	0.13172153957989297	19:13:27.86	+10:53:32.3	8000.0	958794.7	6077.4	6.253353224359468E-19
34479	333.6036566720678	-0.21310298520845056	16:22:09.55	-50:06:02.5	3600.0	954952.7	7623.121	6.843289710604076E-18
34523	0.654843361035245	-0.04075444986176475	17:47:19.78	-28:23:52.1	8000.0	794134.94	70975.79	6.494822904337518E-18
34573	49.48977790408863	-0.3697280030558029	19:23:40.03	+14:31:04.8	5300.0	793926.0	16340.158	1.6209639033541057E-17
34513	350.1114169490069	0.09053898571638148	17:19:26.38	-37:10:18.5	10500.0	673610.4	27990.66	5.167026338053125E-19
34546	20.080427056054763	-0.13586438282187396	18:28:10.37	-11:28:50.2	12600.0	622850.75	11898.602	1.0653049133419506E-18
34533	10.472329287821506	0.02763200757717879	18:08:38.14	-19:51:49.3	8500.0	610889.06	32190.898	1.1595640580334168E-17
34465	330.9545018050688	-0.18277310547646974	16:09:53.02	-51:54:54.7	5300.0	587437.2	16581.473	1.994734861488309E-17
34456	328.30727742411517	0.43000338537984	15:54:06.58	-53:11:41.3	5800.0	569002.25	3147.8147	1.691373454631493E-18
34569	45.070256958324016	0.13180860715525122	19:13:22.06	+10:50:49.6	8000.0	524860.5	3910.547	8.007221710795264E-19
34446	324.2006077396844	0.12066330839120326	15:32:53.04	-55:56:08.2	6800.0	519470.4	5464.8237	1.8220645541811846E-18
34534	10.623801560378615	-0.38340424326434475	18:10:28.66	-19:55:48.0	5000.0	510933.38	11286.596	9.466018252430183E-18
34462	329.33822115755567	0.1470236048597759	16:00:33.22	-52:44:44.5	6000.0	491330.28	3964.8577	1.427042114432664E-18
34525	0.6769413096488799	-0.02685897072158708	17:47:19.66	-28:22:18.1	8000.0	476689.47	231419.05	8.095037669631249E-17
34572	49.488869579987025	-0.3883421688826007	19:23:43.99	+14:30:30.2	5300.0	474670.88	34024.36	3.375258531528488E-17
34520	351.581511908492	-0.3528871895943809	17:25:25.20	-36:12:44.3	8000.0	424266.5	28981.578	5.934257138592071E-18
34475	333.13412304880876	-0.43153330315313637	16:21:02.62	-50:35:13.2	3600.0	409135.0	5644.1084	7.207524162928624E-18
34536	12.20803679919866	-0.10200997836735835	18:12:39.72	-18:24:21.2	13400.0	407301.4	31134.543	1.9110529389833916E-18
34463	329.4058105771183	-0.45897425888523025	16:03:32.28	-53:09:27.7	10100.0	401967.4	12471.741	8.208783378347704E-19
34555	29.955012639086604	-0.016290274130959778	18:46:03.74	-02:39:23.8	5200.0	393415.56	2881.3396	2.5337068544731673E-18
34486	337.7046004651342	-0.053559934680515356	16:38:29.59	-47:00:38.5	12100.0	376810.38	32781.293	2.287925723011914E-18
34538	12.805774188054544	-0.1994643290600708	18:14:13.66	-17:55:40.4	2600.0	349434.5	4594.67	1.0948984134344102E-17
34468	331.51226290642444	-0.10331532820688279	16:12:10.27	-51:28:38.3	5300.0	330846.1	4485.1284	3.724939279897284E-18
34471	332.8262136867904	-0.5494024492935093	16:20:11.18	-50:53:15.0	3600.0	316120.94	5659.1865	1.4997483961737725E-17
34487	337.71299063184523	0.0873086697034725	16:37:54.72	-46:54:37.1	10800.0	310016.97	13812.335	1.963746851369845E-18
34431	301.13649030934675	-0.22572429415777745	12:35:35.16	-63:02:31.9	4600.0	301610.5	4771.2935	7.23947727666262E-18
34452	327.3005479586015	-0.5509440729809459	15:53:03.67	-54:35:30.8	3000.0	301324.28	1541.9746	2.3919546962244855E-18
34504	347.6278758829539	0.1486098997438713	17:11:50.88	-39:09:29.2	9800.0	297785.88	9755.61	7.028975601611415E-19
34531	9.620721346698463	0.19348060481894788	18:06:15.12	-20:31:37.2	5200.0	260116.8	4493.3677	3.3502434256773354E-18
34437	309.92120030221633	0.47778264420690036	13:50:42.24	-61:35:13.6	5500.0	247860.19	2750.7332	1.285355746196069E-18
34476	333.2841848162604	-0.38692951772857087	16:21:30.86	-50:26:58.2	3600.0	237067.36	3432.4336	2.767507221954826E-18
34509	348.72608789351915	-1.039230329903141	17:20:06.89	-38:57:15.8	3400.0	220889.42	3858.6814	8.821859919194819E-18
34483	336.9943800752657	-0.027082609163522002	16:35:34.06	-47:31:09.8	7700.0	213994.12	7147.6655	2.804023922948453E-18
34464	330.87884106686926	-0.3681263757836072	16:10:20.38	-52:06:09.7	4000.0	203162.28	3552.1323	6.862480537041217E-18
34527	5.884333782553291	-0.3925280112845612	18:00:30.34	-24:04:04.4	3000.0	198252.98	2476.0823	1.3543969260563658E-17
